GO	description	category	ERR977403	ERR977404	ERR977405	ERR977406	ERR977407	ERR977408	ERR977409	ERR977410	ERR977411	ERR977412	ERR977413	ERR977414	ERR977415	ERR977416	ERR977417	ERR977418	ERR977419	ERR977420	ERR977421	ERR977422	ERR977423	ERR977424	ERR977425
GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity	molecular function	386	345	641	320	46	81	345	136	114	124	105	151	161	162	398	427	407	562	464	430	61	92	217
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	biological process	0	0	0	0	0	0	0	3	1	1	0	2	1	0	0	4	6	3	4	9	0	7	21
GO:0000186	activation of MAPKK activity	biological process	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	2	2	1	0	1	1
GO:0000213	tRNA-intron endonuclease activity	molecular function	0	0	0	0	1	0	2	6	7	7	4	9	2	0	114	118	134	81	58	52	6	12	48
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	cellular component	0	0	0	0	0	0	0	0	0	2	0	0	0	1	3	1	0	7	9	4	1	4	19
GO:0000226	microtubule cytoskeleton organization	biological process	0	0	0	0	0	0	2	4	0	2	0	0	0	1	5	5	8	8	15	18	1	3	5
GO:0000228	nuclear chromosome	cellular component	8	10	9	26	4	3	12	2	0	8	6	1	3	3	10	5	9	42	60	63	1	12	18
GO:0000256	allantoin catabolic process	biological process	0	0	0	0	36	44	186	77	267	271	240	277	253	244	493	565	521	1618	1622	1608	205	282	666
GO:0000262	mitochondrial chromosome	cellular component	0	0	0	0	1	2	2	4	3	2	1	0	2	0	2	2	3	0	3	2	6	1	19
GO:0000266	mitochondrial fission	biological process	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1
GO:0000270	peptidoglycan metabolic process	biological process	441	424	745	508	61	74	287	83	125	113	118	134	136	135	892	913	923	997	1001	975	47	47	151
GO:0000271	polysaccharide biosynthetic process	biological process	9	17	27	0	129	178	756	277	293	283	259	476	408	394	1572	1549	1534	2223	2156	2075	140	330	531
GO:0000272	polysaccharide catabolic process	biological process	0	0	0	0	284	251	1104	686	1355	1284	1189	2002	1841	1904	2095	2045	1969	2054	2000	1940	875	1134	1660
GO:0000275	mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)	cellular component	0	0	0	0	0	0	0	0	0	2	2	0	0	0	2	1	0	3	2	0	0	6	7
GO:0000276	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	cellular component	0	0	0	0	1	0	1	0	0	1	1	1	0	0	0	0	0	3	0	1	0	5	1
GO:0000281	mitotic cytokinesis	biological process	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
GO:0000287	magnesium ion binding	molecular function	14331	13802	25421	14765	2909	3353	15306	6032	10044	9801	9675	15023	14772	14296	31162	30530	29408	49740	49469	48621	12716	22329	37536
GO:0000290	deadenylation-dependent decapping of nuclear-transcribed mRNA	biological process	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	3	4	2	2	7	0	1	2
GO:0000334	3-hydroxyanthranilate 3,4-dioxygenase activity	molecular function	13	26	29	0	20	23	143	62	278	282	251	165	136	165	233	267	210	405	394	369	232	272	511
GO:0000340	RNA 7-methylguanosine cap binding	molecular function	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	2
GO:0000390	spliceosomal complex disassembly	biological process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
GO:0000398	mRNA splicing, via spliceosome	biological process	0	0	0	0	3	0	0	15	9	6	3	6	3	2	16	18	12	48	71	61	10	46	186
GO:0000400	four-way junction DNA binding	molecular function	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
GO:0000413	protein peptidyl-prolyl isomerization	biological process	3150	2389	4341	2232	519	491	2434	906	2070	2065	2016	2591	2637	2591	7576	7653	7485	9057	9030	8655	2724	4294	7272
GO:0000439	core TFIIH complex	cellular component	0	0	2	1	2	0	1	11	5	0	5	0	1	0	7	2	3	19	13	18	0	9	20
GO:0000444	MIS12/MIND type complex	cellular component	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	3
GO:0000445	THO complex part of transcription export complex	cellular component	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	biological process	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	3	0	2	6
GO:0000469	cleavage involved in rRNA processing	biological process	0	0	0	0	0	0	0	2	0	0	0	1	1	0	2	0	1	5	2	3	0	0	3
GO:0000502	proteasome complex	cellular component	0	0	0	0	0	0	0	1	1	0	0	0	0	2	2	0	1	2	4	1	0	2	7
GO:0000723	telomere maintenance	biological process	0	0	0	0	32	29	130	187	84	93	94	61	65	48	171	174	135	271	275	269	19	21	203
GO:0000724	double-strand break repair via homologous recombination	biological process	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	1	1	0	0	0	0	0	2
GO:0000736	double-strand break repair via single-strand annealing, removal of nonhomologous ends	biological process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GO:0000737	DNA catabolic process, endonucleolytic	biological process	699	507	882	424	12	17	37	9	13	14	6	34	30	26	332	312	319	140	145	109	2	5	5
GO:0000746	conjugation	biological process	0	0	1	0	79	81	301	75	386	360	361	391	373	470	428	472	442	1100	957	960	331	308	917
GO:0000753	cell morphogenesis involved in conjugation with cellular fusion	biological process	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000772	mating pheromone activity	molecular function	0	0	0	1	1	0	0	1	2	0	1	3	2	3	1	6	9	12	4	8	2	3	10
GO:0000774	adenyl-nucleotide exchange factor activity	molecular function	1303	1105	2131	1107	240	248	1225	502	758	780	715	988	956	942	2133	2163	2178	3485	3244	3175	526	1005	1844
GO:0000775	chromosome, centromeric region	cellular component	0	0	0	0	0	0	0	1	2	2	1	0	0	1	3	2	3	5	3	5	2	4	10
GO:0000776	kinetochore	cellular component	0	0	1	0	0	0	1	0	0	0	0	1	0	1	1	2	0	0	0	0	0	0	0
GO:0000784	nuclear chromosome, telomeric region	cellular component	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	3
GO:0000785	chromatin	cellular component	0	0	0	0	1	1	1	2	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1
GO:0000786	nucleosome	cellular component	2	1	3	1	7	3	27	97	25	27	19	10	13	11	59	66	48	155	129	145	16	87	353
GO:0000795	synaptonemal complex	cellular component	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GO:0000796	condensin complex	cellular component	0	0	0	0	0	0	1	4	0	2	0	0	1	0	6	4	2	4	4	9	1	5	14
GO:0000808	origin recognition complex	cellular component	0	0	0	0	0	0	0	5	1	0	0	0	0	1	3	4	4	3	2	4	1	2	10
GO:0000813	ESCRT I complex	cellular component	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0
GO:0000902	cell morphogenesis	biological process	2502	2179	4086	2196	594	693	3276	1442	2933	2911	2817	3627	3690	3643	7662	7483	7661	11480	10998	11188	5494	10550	19259
GO:0000910	cytokinesis	biological process	0	0	0	0	2	1	2	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0
GO:0000917	barrier septum assembly	biological process	260	330	744	542	22	24	92	19	104	87	107	68	73	61	308	317	297	1102	1160	1124	88	80	468
GO:0000921	septin ring assembly	biological process	0	0	0	0	9	3	11	6	0	1	0	2	1	1	0	0	0	0	0	0	3	1	3
GO:0000922	spindle pole	cellular component	0	0	0	0	0	0	2	3	0	2	0	0	0	1	5	5	8	8	15	18	1	3	3
GO:0000930	gamma-tubulin complex	cellular component	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	2	0	0	0
GO:0000959	mitochondrial RNA metabolic process	biological process	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	4	2	0	1	0	1	1	10
GO:0000975	regulatory region DNA binding	molecular function	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3
GO:0000978	RNA polymerase II core promoter proximal region sequence-specific DNA binding	molecular function	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
GO:0000981	RNA polymerase II transcription factor activity, sequence-specific DNA binding	molecular function	0	0	0	0	1	0	1	1	2	1	1	2	2	1	6	7	8	11	7	4	4	3	9
GO:0000982	transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding	molecular function	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
GO:0001000	bacterial-type RNA polymerase core enzyme binding	molecular function	0	0	0	0	7	11	55	22	11	10	23	163	154	159	1	1	2	70	85	67	48	146	186
GO:0001104	RNA polymerase II transcription cofactor activity	molecular function	0	0	0	0	0	2	1	8	0	1	1	0	3	1	5	5	5	14	10	11	6	8	12
GO:0001510	RNA methylation	biological process	19	10	18	5	7	12	50	32	20	15	25	32	36	38	42	54	36	54	68	63	2	7	45
GO:0001514	selenocysteine incorporation	biological process	0	0	0	0	63	76	386	80	197	198	176	304	292	312	246	217	194	376	417	415	265	600	605
GO:0001522	pseudouridine synthesis	biological process	7028	6091	10451	5674	1042	1098	5109	1655	3396	3368	3270	4095	4033	3960	11400	10870	10848	17282	16906	16743	3984	6585	11917
GO:0001530	lipopolysaccharide binding	molecular function	75	126	205	145	3	3	17	3	2	3	1	1	0	1	14	13	13	38	34	35	0	0	0
GO:0001558	regulation of cell growth	biological process	0	0	2	1	10	7	39	9	29	20	25	20	17	19	238	191	194	187	199	177	15	22	46
GO:0001614	purinergic nucleotide receptor activity	molecular function	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	3	0	0	1	6	18	15
GO:0001664	G-protein coupled receptor binding	molecular function	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0
GO:0001671	ATPase activator activity	molecular function	0	0	0	0	0	0	1	2	0	0	0	0	0	1	2	2	0	4	6	4	1	1	5
GO:0001678	cellular glucose homeostasis	biological process	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	2	2	1	0	1	1
GO:0001682	tRNA 5'-leader removal	biological process	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	1	0	2	0	0	4	3
GO:0001726	ruffle	cellular component	0	0	0	0	0	0	3	1	1	0	1	0	2	0	2	1	0	2	1	1	1	2	2
GO:0001733	galactosylceramide sulfotransferase activity	molecular function	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	1	3	0	0	3	0	1	2
GO:0001822	kidney development	biological process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0
GO:0001848	complement binding	molecular function	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	2	3	0	0	0
GO:0001882	nucleoside binding	molecular function	0	0	0	0	0	1	5	1	0	0	0	0	0	0	1	2	0	2	2	0	0	0	2
GO:0002098	tRNA wobble uridine modification	biological process	0	0	0	0	1	1	11	5	1	3	1	1	0	1	2	5	3	17	16	12	2	7	16
GO:0002100	tRNA wobble adenosine to inosine editing	biological process	534	452	793	447	89	142	586	179	304	302	326	430	415	410	1056	1038	1008	1300	1318	1338	320	620	815
GO:0002128	tRNA nucleoside ribose methylation	biological process	0	0	0	0	0	1	1	3	0	7	2	2	3	0	90	105	86	33	22	15	5	3	29
GO:0002143	tRNA wobble position uridine thiolation	biological process	0	1	1	1	11	15	54	13	28	28	15	16	7	11	145	137	127	463	501	432	39	39	124
GO:0002161	aminoacyl-tRNA editing activity	molecular function	6028	5593	9840	5517	1063	1250	5791	2381	4647	4610	4559	6986	6687	6726	13924	13800	13495	20404	20247	20234	6920	13100	22164
GO:0002949	tRNA threonylcarbamoyladenosine modification	biological process	1304	1184	2236	1238	237	253	1214	411	582	616	569	790	768	750	1820	1779	1785	2885	2871	2733	589	960	1837
GO:0003333	amino acid transmembrane transport	biological process	3017	2432	4395	2320	392	415	1947	712	501	484	483	679	634	634	2020	1907	1912	3027	2859	2733	72	200	851
GO:0003676	nucleic acid binding	molecular function	45596	43951	80236	47485	8919	9743	46193	20355	26513	26305	25337	38310	37304	36094	91002	89080	87337	125994	125143	122203	32350	59292	102404
GO:0003677	DNA binding	molecular function	157440	141365	256068	142913	36594	39980	194276	81667	116604	114373	111482	169683	165665	162041	346440	346103	337454	565228	558038	547654	153899	273821	471385
GO:0003678	DNA helicase activity	molecular function	3048	2591	4757	2526	772	956	4419	3765	3091	3076	2829	3805	3859	3725	7773	7856	7676	11565	11648	11405	4966	9483	18802
GO:0003682	chromatin binding	molecular function	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	2	0
GO:0003684	damaged DNA binding	molecular function	1772	1599	2937	1729	528	631	2898	899	1387	1350	1356	2195	2039	1973	3440	3438	3440	5849	5793	5591	1690	3280	4894
GO:0003688	DNA replication origin binding	molecular function	458	353	636	398	65	62	368	191	128	138	138	254	228	249	518	517	519	770	750	697	194	309	650
GO:0003689	DNA clamp loader activity	molecular function	0	0	0	0	0	1	1	0	1	1	1	1	2	3	1	3	0	7	3	3	2	4	9
GO:0003690	double-stranded DNA binding	molecular function	0	1	0	0	3	6	28	19	14	12	12	21	25	21	16	19	17	20	23	22	10	22	45
GO:0003697	single-stranded DNA binding	molecular function	3160	2745	5197	2745	766	917	4162	2466	3686	3617	3659	5055	5063	5119	8573	8764	8706	13336	13146	13240	6370	11843	21526
GO:0003700	transcription factor activity, sequence-specific DNA binding	molecular function	26960	25860	47629	28216	6994	7611	36428	12619	24564	23789	23680	34350	33414	32423	52057	52122	50712	138572	136936	135261	27841	47089	81176
GO:0003707	steroid hormone receptor activity	molecular function	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0
GO:0003712	transcription cofactor activity	molecular function	0	0	0	0	0	0	2	5	1	0	1	1	0	1	4	2	1	12	21	15	0	3	8
GO:0003713	transcription coactivator activity	molecular function	0	0	0	0	4	3	12	15	13	17	11	20	21	15	43	41	59	57	39	36	9	18	77
GO:0003714	transcription corepressor activity	molecular function	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	2	3	4	5	0	9	13
GO:0003721	telomerase RNA reverse transcriptase activity	molecular function	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0
GO:0003723	RNA binding	molecular function	35026	31535	57222	32650	6150	6765	31777	11881	20646	19978	19448	27932	27084	26666	65340	65014	63072	104660	102984	101118	26480	46770	84227
GO:0003724	RNA helicase activity	molecular function	0	1	0	0	2	3	10	13	3	9	11	28	26	27	15	12	15	18	27	35	20	42	49
GO:0003725	double-stranded RNA binding	molecular function	2440	2422	4059	2110	350	405	2000	650	1161	1168	1104	1726	1617	1625	3036	3108	2927	5784	5721	5468	1157	2173	2889
GO:0003726	double-stranded RNA adenosine deaminase activity	molecular function	0	0	0	0	0	0	0	1	0	1	0	1	0	1	2	0	0	0	3	1	0	1	2
GO:0003729	mRNA binding	molecular function	787	673	1103	604	87	89	385	155	249	226	248	468	492	470	1239	1204	1187	1325	1353	1423	283	572	663
GO:0003735	structural constituent of ribosome	molecular function	37244	31736	60213	35302	6953	7684	36211	15834	27793	27679	27178	38195	37174	36758	84437	84240	82892	127432	127458	124469	44083	77673	148784
GO:0003743	translation initiation factor activity	molecular function	1997	1699	3347	2092	357	415	1868	755	1293	1274	1270	1600	1613	1598	4218	4180	4146	6416	6368	6260	1933	3325	6401
GO:0003746	translation elongation factor activity	molecular function	2061	1800	3270	1861	475	520	2591	942	1871	1890	1771	2565	2533	2568	5033	4882	4705	7326	7712	7207	2640	4788	7957
GO:0003747	translation release factor activity	molecular function	2600	2449	4241	2433	443	475	2288	901	1635	1505	1538	2061	2020	1983	5137	4986	5088	7348	7306	7067	2129	3739	6837
GO:0003755	peptidyl-prolyl cis-trans isomerase activity	molecular function	3150	2389	4341	2232	520	491	2435	909	2070	2065	2018	2593	2637	2592	7577	7653	7485	9084	9059	8686	2725	4296	7277
GO:0003756	protein disulfide isomerase activity	molecular function	0	0	0	0	1	0	1	5	2	1	2	0	0	1	3	3	4	10	12	12	3	11	20
GO:0003774	motor activity	molecular function	6057	5268	9717	5182	273	262	1218	461	1232	1266	1211	1425	1373	1284	6440	6634	6424	10991	10920	10741	1233	1716	3887
GO:0003777	microtubule motor activity	molecular function	183	133	238	145	39	27	132	104	79	68	60	36	46	38	282	283	259	986	984	989	101	467	2273
GO:0003779	actin binding	molecular function	3	5	7	4	7	6	27	24	46	54	73	57	78	76	126	140	133	222	204	258	260	515	910
GO:0003785	actin monomer binding	molecular function	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	2	0	0	3	8
GO:0003796	lysozyme activity	molecular function	46	71	94	0	111	111	488	969	474	472	479	399	384	386	718	714	769	1696	1660	1706	271	331	3050
GO:0003810	protein-glutamine gamma-glutamyltransferase activity	molecular function	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0
GO:0003824	catalytic activity	molecular function	331635	312981	561880	309910	78928	91171	434813	126190	285436	277889	274269	411616	401674	397169	717851	715561	701621	1295195	1287113	1269824	396014	700105	1045093
GO:0003830	beta-1,4-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity	molecular function	0	0	0	0	1	2	6	32	4	2	3	5	5	6	14	22	10	42	37	40	11	21	63
GO:0003840	gamma-glutamyltransferase activity	molecular function	2153	3273	5814	3812	870	926	4580	1244	3654	3538	3324	4467	4369	4292	5690	5630	5382	14166	14136	13704	3751	5933	8490
GO:0003841	1-acylglycerol-3-phosphate O-acyltransferase activity	molecular function	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0
GO:0003842	1-pyrroline-5-carboxylate dehydrogenase activity	molecular function	251	431	776	491	58	42	202	51	250	258	249	334	318	314	426	400	438	2072	2002	2012	198	285	952
GO:0003843	1,3-beta-D-glucan synthase activity	molecular function	0	0	0	0	0	0	0	0	0	1	0	2	2	1	2	7	7	24	12	23	0	2	11
GO:0003847	1-alkyl-2-acetylglycerophosphocholine esterase activity	molecular function	0	0	0	0	26	37	203	37	103	98	95	76	73	69	151	147	147	163	156	141	51	73	141
GO:0003848	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity	molecular function	1278	1320	2379	1212	195	285	1118	325	989	929	943	1316	1316	1329	2442	2531	2652	4254	4127	3971	1497	2859	3750
GO:0003849	3-deoxy-7-phosphoheptulonate synthase activity	molecular function	133	149	212	80	207	300	1431	314	691	630	659	1308	1289	1310	1379	1367	1383	3333	3326	3376	1563	2835	4624
GO:0003852	2-isopropylmalate synthase activity	molecular function	2096	1896	3355	1977	188	215	1167	291	604	564	529	1057	1061	970	2405	2372	2327	3027	2821	2823	443	924	1204
GO:0003854	3-beta-hydroxy-delta5-steroid dehydrogenase activity	molecular function	462	461	807	369	147	126	695	234	603	529	491	582	529	545	1513	1418	1397	1375	1317	1338	304	556	773
GO:0003855	3-dehydroquinate dehydratase activity	molecular function	1273	1016	1863	1034	221	245	1179	362	947	936	879	1274	1280	1313	2781	3019	2820	5206	5169	5188	1567	2800	4223
GO:0003856	3-dehydroquinate synthase activity	molecular function	0	0	0	0	0	0	3	0	7	6	8	12	11	7	174	172	159	57	89	68	3	22	22
GO:0003857	3-hydroxyacyl-CoA dehydrogenase activity	molecular function	2136	2180	3857	1860	1045	1099	5155	1609	3928	3907	3870	5456	5263	5182	7631	7634	7486	16678	16376	16372	5383	8910	13917
GO:0003860	3-hydroxyisobutyryl-CoA hydrolase activity	molecular function	187	279	476	258	154	218	992	231	517	522	471	716	718	700	947	858	918	4652	4484	4477	361	519	1401
GO:0003861	3-isopropylmalate dehydratase activity	molecular function	403	390	607	401	20	22	116	25	7	9	11	15	14	17	59	57	70	93	102	84	0	0	0
GO:0003864	3-methyl-2-oxobutanoate hydroxymethyltransferase activity	molecular function	2970	2955	5451	3469	263	345	1540	458	1302	1304	1205	1733	1640	1774	4056	4323	4155	6761	6699	6627	1890	3782	5070
GO:0003870	5-aminolevulinate synthase activity	molecular function	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
GO:0003871	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity	molecular function	5533	4794	8734	4687	76	115	567	142	218	207	221	485	463	442	1033	944	997	5386	5486	5350	574	1516	3557
GO:0003872	6-phosphofructokinase activity	molecular function	1051	955	1714	944	472	518	2384	798	1311	1368	1281	2355	2256	2255	2489	2432	2296	3091	2930	2809	1495	3362	3783
GO:0003873	6-phosphofructo-2-kinase activity	molecular function	0	0	0	0	2	3	9	4	15	13	19	9	5	7	19	18	15	22	21	27	13	38	50
GO:0003874	6-pyruvoyltetrahydropterin synthase activity	molecular function	85	63	118	64	3	3	15	9	11	3	5	22	17	28	253	236	233	130	117	122	14	42	30
GO:0003877	ATP adenylyltransferase activity	molecular function	108	164	317	210	1	1	9	0	4	5	4	12	7	9	260	262	286	56	68	72	6	17	14
GO:0003879	ATP phosphoribosyltransferase activity	molecular function	952	851	1673	869	191	220	1146	265	606	541	598	1051	980	980	2224	2210	2189	3516	3555	3448	846	1451	2324
GO:0003883	CTP synthase activity	molecular function	2090	1710	3061	1633	302	346	1665	661	1621	1697	1654	2268	2222	2201	5815	5765	5747	7872	7969	7812	3100	5422	10240
GO:0003884	D-amino-acid oxidase activity	molecular function	0	0	0	0	1	2	8	5	9	9	11	11	4	11	8	16	7	8	17	9	3	14	22
GO:0003885	D-arabinono-1,4-lactone oxidase activity	molecular function	12	16	31	0	99	109	477	112	194	196	152	232	199	230	127	155	154	532	528	523	207	458	425
GO:0003887	DNA-directed DNA polymerase activity	molecular function	6885	6334	11992	6925	1248	1277	6356	3833	4711	4653	4579	6279	6129	5888	14781	14816	14381	23610	23186	22955	5630	9416	18735
